imu_ax, imu_ay, odom_vx, odom_w, enc_x, enc_y, enc_th, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, kf_th, stamp, 
-0.039988982983392346, 0.003665541936623187, 1.0231439573947835e-06, -1.0812252688934399e-06, -1.294341712729421, 4.053700858866701, -1.1943620597644586, -0.05173012199587814, -1.6197447509198948e-08, -0.003254896334698304, 4.976332836326809e-06, -1.2942544634112665, 4.053480143817285, -1.1943572002257101, 75815000000, 
-0.05723943852871774, 0.020681763429743663, 1.6260009511088242e-06, -1.095971424665742e-06, -1.2943417222828428, 4.053700880211503, -1.1943621528893427, -0.053502108988638795, 2.897617266208268e-08, -0.0031572785016360716, -9.177578932953652e-06, -1.2942560832215404, 4.053484241436601, -1.1943575714759826, 75910000000, 
-0.05653164627136716, 0.011409345351174757, 3.707749301013799e-06, -9.410592975249193e-07, -1.2943417066005427, 4.053700838816148, -1.1943622530700269, -0.054311324496334155, 3.045659590743762e-08, -0.0031551786026161746, -9.65289124431307e-06, -1.2942553669620576, 4.053482429356613, -1.194358471417918, 76005000000, 
-0.049544894475866505, 0.003961379503257087, 4.282099674270101e-06, -8.706398463669972e-07, -1.2943417074180799, 4.0537008405786334, -1.194362352484364, -0.052085475793638036, 1.918565910181015e-08, -0.003116408687421724, -6.156336034887286e-06, -1.2942567874286337, 4.053486022997829, -1.1943591909984128, 76101000000, 
-0.05866943204921531, -0.016439607472059033, 1.8968504039632024e-06, -1.0009322232558926e-06, -1.2943417069314693, 4.0537008396251775, -1.1943624481200712, -0.05428296955905623, -1.5476886504643566e-08, -0.003129345300598882, 4.945726667390032e-06, -1.294255889900724, 4.05348375241706, -1.1943591218272303, 76196000000, 
-0.04875736536496552, -0.0011471473157110758, 4.307458180649265e-06, -1.0573000775501771e-06, -1.294341697752136, 4.053700813611203, -1.1943625531024813, -0.05176886790730269, -5.509374571904327e-09, -0.0030773380981839685, 1.7903052560768598e-06, -1.2942574405683998, 4.0534876754852665, -1.1943588374863967, 76291000000, 
-0.05350277225257771, -0.005291578806673624, 2.9388878175215166e-06, -9.189958758351024e-07, -1.2943417085875464, 4.053700839558184, -1.194362613020972, -0.05204971305302125, -8.381279779314705e-09, -0.003184527897920237, 2.631875131252071e-06, -1.2942563737346173, 4.053484976528917, -1.1943586031897733, 76393000000, 
-0.05274922210791823, -0.03573534355292707, 1.8889575078524848e-06, -1.0160323647902525e-06, -1.2943417065716447, 4.053700835540772, -1.194362709195789, -0.05195553298322497, -5.54599564067843e-08, -0.0030879001972773847, 1.796041091473215e-05, -1.2942577874284893, 4.053488552325606, -1.1943574373520953, 76488000000, 
-0.0524953931920581, 0.02530247442964807, 3.976701134968897e-06, -1.127454831509088e-06, -1.294341690782029, 4.053700793959675, -1.1943628118025575, -0.051781232693326476, 1.8565238893756258e-08, -0.0031421205139172854, -5.9085063133402715e-06, -1.2942570981374208, 4.053486808902718, -1.1943570977261209, 76588000000, 
-0.04958344192377711, 0.011451438603061843, 2.3174452887037023e-06, -9.878179771626583e-07, -1.2943417040118779, 4.053700823188282, -1.1943629058254688, -0.050566341854850275, 2.5529471970658684e-08, -0.0030295470668961263, -8.42682797360019e-06, -1.294259386357916, 4.05349259745788, -1.1943578091073697, 76683000000, 
